ticker,marketcap,token_address,graduated_time
Bob,4161931.9438809687,3jx5Dqkmdtzmhcwv6JRaWA3j1dQg9ntFab2FRparpump,2024-12-20 11:42:12.000 UTC
PTRUMP,4131550.752539919,FLJ4ZWsAJu2oD8kcuwnzgXPEhJTzbrGSdhPNWhtEfvpy,2024-12-26 13:43:31.000 UTC
SQUIDGAME,4119861.1656787447,9Y69BuZTXpieDoUy8mva17fZWFVhi5Gi98ebqtoFpump,2024-12-25 13:26:15.000 UTC
PYTHIA,4118398.150358064,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,2024-12-26 14:31:02.000 UTC
KEVIN,4097155.775488919,CjEVksca5je516R2FNsAHTLvkduCwqKYzYfFS1nQpump,2024-12-22 16:02:12.000 UTC
BEANOS,4072966.496293753,9QLAj7dZiA5J5qyU2932QJPauwzJrxaPY9hJaPaCcFn9,2024-12-27 00:26:26.000 UTC
Mounjaro,4058060.1793602617,tnsk93nix64MtmF17TjbyXZfMViTCSDTEEDSjZJpump,2024-12-26 01:25:20.000 UTC
STEVE,4026908.857597548,7E8cSaTAeyrxNTXXqXk8qzEjuCyJgf8spFpwvVdnpump,2024-12-26 19:28:58.000 UTC
RS,4000623.7930430975,HfCJ1VxzBgLQiWLETJ8QmSybN69neYqxvEBSf7F4pump,2024-12-26 15:56:13.000 UTC
BOHINES,3979050.5322413114,AEis6kgQd7yUmGEcV9mCoDtCirFnV2bDbqdABSkRpump,2024-12-22 21:50:29.000 UTC
MEM,3913576.2838680334,EuEcP5E9CxRxEgSqyYQ4KjRz8uDynywBkFLPRWbRpump,2024-12-26 17:24:02.000 UTC
SAI,3875350.449135994,8xeGX8cfviQvojJwb3W96g7ogAcVYFUBfyHYkYSwpump,2024-12-26 14:54:40.000 UTC
FURPAY,3873679.8871879536,FWsHAVc9JNw24jFSY7CCTDsJwxM4nmKtMyFBjhGrpump,2024-12-26 17:05:45.000 UTC
QTC,3857259.226811824,2ERLBUwcPbaStyMogswwLvBDFsA3itQA2nQftx1mpump,2024-12-27 02:55:39.000 UTC
Buttcoin,3850461.6120602,ESLvBNKz2SHAW9GFh3Fbu6uaQuvvCrhSvMiK67mWpump,2024-12-26 18:30:24.000 UTC
YUI,3848717.003750952,FNUwkmhy6PkoJYBckroKHxg79fx6VHrLZkcHrY19j1J2,2024-12-22 19:43:17.000 UTC
cra,3811428.86239961,Hx17Q5bcP4SYwezPx3vFT8GDfDvSCToTV9qsfj19pump,2024-12-23 22:22:03.000 UTC
willy,3807801.061029103,6KVcC37iUeYmAS1kMUFEi3kS9G91tA8isqZ54ebgpump,2024-12-22 19:15:00.000 UTC
MEDO1,3800023.563728554,FJ7iVAqmi17xs4puzGTxvbVPDgaPDd7E9TAcPBg7pump,2024-12-26 15:57:12.000 UTC
SP500,3754706.666016439,CaM41daLtWdzzQkfzphhai6dHu8KiC9wy59edrsspump,2024-12-27 21:03:36.000 UTC
HIDE,3744038.995606154,viK1k2SqdjXhWpmQAEQ6mRexDumDWiVFipnGxrbpump,2024-12-26 20:12:26.000 UTC
388,3730608.367221624,9FezefP1SbttXzvDHq2wDu8xpnrTL4u76xAxBFnRpump,2024-12-26 08:08:19.000 UTC
ROBOTSEX,3728935.102187164,GY7tHq74SBdNRRA64jwJKXPFMkAWtC3wRsmVLUkxpump,2024-12-26 15:21:35.000 UTC
SPHYNX,3705639.194793643,GCEmVNE4XiZiBsmiEhuVsqfjB4ntF1tG5d89DLztpump,2024-12-26 16:00:03.000 UTC
BAGS,3653551.829150136,SnopZ5nwLYnsA9QgDDEJqeu85i1LrGeeeA3rCZQpump,2024-12-19 09:41:43.000 UTC
EA85Z,3633722.0291358265,Dntb4XwzMj1uoCnFGdZgmwTx1UPkByk3HGZtU9u1pump,2024-12-25 10:15:07.000 UTC
WFD,3630101.1120866407,7PqwMFhvcCpUUKtS5Zvrk6GuRPu1pDHwWuTzKXEipump,2024-12-26 16:19:44.000 UTC
AGENTHUB,3614049.845972455,HEQ5ZrmUE9rGu7YZLdEzcxu7X8YtnxFjA7FAHWHwpump,2024-12-27 00:01:12.000 UTC
Andrew,3558272.660472852,DRwRNuXGen2nmBKeXBdgd7zyNWAKgZkbjZubwQRepump,2024-12-26 03:28:14.000 UTC
SD,3554919.70549277,5fYYNKVQfpBEDAGZmvtKVxVBLYfM6cPRm56a7mDYpump,2024-12-26 22:13:50.000 UTC
2025,3550856.188584684,J5ELogmzrdKiuSZxvKSKtfs8JRXMoR7YQEBHebr7pump,2024-12-27 21:49:58.000 UTC
VAXSPERM,3545659.1522388915,5kYDnCdK4fPQXeUYc3c1yhUjvZqwRkhWhsr2yLXtpump,2024-12-27 21:45:37.000 UTC
KAREN,3540273.167432913,NqxdvLjYz7uoCMjWkVkdYS8TheogsU5N4k4uNFnpump,2024-12-27 02:40:49.000 UTC
